iteracija,u1,u2,vrijednost
273,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
274,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
275,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
276,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
277,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
278,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
279,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
280,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
281,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
282,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
283,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
284,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
285,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
286,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
287,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
288,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
289,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
290,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
291,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
292,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
293,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
294,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
295,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
296,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
297,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
298,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
299,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
300,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
301,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
302,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
303,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
304,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
305,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
306,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
307,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
308,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
309,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
310,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
311,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
312,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
313,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
314,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
315,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
316,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
317,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
318,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
319,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
320,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
321,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
322,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
323,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
324,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
325,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
326,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
327,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
328,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
329,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
330,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
331,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
332,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
333,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
334,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
335,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
336,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
337,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
338,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
339,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
340,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
341,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
342,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
343,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
344,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
345,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
346,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
347,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
348,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
349,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
350,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
351,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
352,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
353,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
354,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
355,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
356,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
357,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
