iteracija,u1,u2,u3,vrijednost
167,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
168,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
169,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
170,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
171,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
172,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
173,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
174,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
175,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
176,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
177,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
178,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
179,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
180,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
181,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
182,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
183,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
184,2.9878654245307206,0.7949650599028911,24994.03264913864,-10418010.70233
185,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
186,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
187,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
188,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
189,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
190,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
191,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
192,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
193,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
194,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
195,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
196,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
197,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
198,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
199,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
200,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
201,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
202,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
203,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
204,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
205,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
206,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
207,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
208,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
209,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
210,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
211,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
212,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
213,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
214,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
215,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
216,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
217,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
218,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
219,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
220,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
221,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
222,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
223,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
224,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
225,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
226,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
227,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
228,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
229,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
230,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
231,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
232,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
233,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
234,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
235,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
236,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
237,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
238,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
239,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
240,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
241,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
242,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
243,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
244,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
245,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
246,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
247,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
248,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
249,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
250,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
251,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
252,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
253,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
254,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
255,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
256,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
257,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
258,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
259,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
260,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
261,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
262,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
263,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
264,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
265,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
266,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
267,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
268,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
269,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
270,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
271,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
272,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
273,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
274,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
275,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
276,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
277,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
278,2.960865958772185,0.960835577640883,25004.57056007788,-10418015.504499
279,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
280,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
281,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
282,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
